Array riordinato:
Elemento 1: 6.00646
Elemento 2: 6.38492
Elemento 3: 6.51221
Elemento 4: 6.89044
Elemento 5: 7.08585
Elemento 6: 8.11722
Elemento 7: 8.44992
Elemento 8: 8.50763
Elemento 9: 8.68451
Elemento 10: 8.96348
Elemento 11: 9.08831
Elemento 12: 9.22712
Elemento 13: 9.23074
Elemento 14: 9.48365
Elemento 15: 9.55041
Elemento 16: 9.55072
Elemento 17: 10.5444
Elemento 18: 10.7002
Elemento 19: 11.1259
Elemento 20: 11.2086
Elemento 21: 11.6275
Elemento 22: 12.2838
Elemento 23: 12.5643
Elemento 24: 13.0276
Elemento 25: 14.2208
Elemento 26: 14.4736
Elemento 27: 16.5837
Elemento 28: 17.2202
Elemento 29: 20.151
Elemento 30: 20.2409
Elemento 31: 20.2566
Elemento 32: 20.9615
Elemento 33: 24.4574
Elemento 34: 25.6404
Elemento 35: 25.7785
Elemento 36: 26.1152
Elemento 37: 26.9965
Elemento 38: 32.0793
Elemento 39: 41.7545
Elemento 40: 45.2008
Elemento 41: 338.06
