Array riordinato: 
Elemento 1: 3.7219
Elemento 2: 3.7227
Elemento 3: 3.73699
Elemento 4: 3.86642
Elemento 5: 3.97295
Elemento 6: 3.99037
Elemento 7: 4.02844
Elemento 8: 4.05346
Elemento 9: 4.069
Elemento 10: 4.07591
Elemento 11: 4.09318
Elemento 12: 4.10141
Elemento 13: 4.10267
Elemento 14: 4.12382
Elemento 15: 4.13666
Elemento 16: 4.14662
Elemento 17: 4.15511
Elemento 18: 4.15813
Elemento 19: 4.17429
Elemento 20: 4.18663
Elemento 21: 4.23664
Elemento 22: 4.25326
Elemento 23: 4.25495
Elemento 24: 4.27537
Elemento 25: 4.28035
Elemento 26: 4.29395
Elemento 27: 4.31512
Elemento 28: 4.33003
Elemento 29: 4.33111
Elemento 30: 4.33239
Elemento 31: 4.33738
Elemento 32: 4.35078
Elemento 33: 4.35086
Elemento 34: 4.3561
Elemento 35: 4.36856
Elemento 36: 4.37151
Elemento 37: 4.37646
Elemento 38: 4.38288
Elemento 39: 4.38517
Elemento 40: 4.38867
Elemento 41: 4.3941
Elemento 42: 4.40706
Elemento 43: 4.40826
Elemento 44: 4.41384
Elemento 45: 4.41765
Elemento 46: 4.41939
Elemento 47: 4.42574
Elemento 48: 4.43033
Elemento 49: 4.4323
Elemento 50: 4.43269
Elemento 51: 4.46428
Elemento 52: 4.4657
Elemento 53: 4.47144
Elemento 54: 4.47584
Elemento 55: 4.47652
Elemento 56: 4.4891
Elemento 57: 4.4906
Elemento 58: 4.49531
Elemento 59: 4.49789
Elemento 60: 4.50882
Elemento 61: 4.51669
Elemento 62: 4.52967
Elemento 63: 4.53062
Elemento 64: 4.53077
Elemento 65: 4.53623
Elemento 66: 4.53859
Elemento 67: 4.54134
Elemento 68: 4.5461
Elemento 69: 4.55605
Elemento 70: 4.56015
Elemento 71: 4.56139
Elemento 72: 4.56153
Elemento 73: 4.57623
Elemento 74: 4.59494
Elemento 75: 4.59523
Elemento 76: 4.60257
Elemento 77: 4.60417
Elemento 78: 4.60651
Elemento 79: 4.61567
Elemento 80: 4.61996
Elemento 81: 4.62319
Elemento 82: 4.62661
Elemento 83: 4.62693
Elemento 84: 4.63158
Elemento 85: 4.63214
Elemento 86: 4.63629
Elemento 87: 4.64102
Elemento 88: 4.64367
Elemento 89: 4.64518
Elemento 90: 4.65568
Elemento 91: 4.6562
Elemento 92: 4.66577
Elemento 93: 4.67019
Elemento 94: 4.67038
Elemento 95: 4.67183
Elemento 96: 4.67371
Elemento 97: 4.67593
Elemento 98: 4.67815
Elemento 99: 4.6786
Elemento 100: 4.68303
Elemento 101: 4.68429
Elemento 102: 4.68683
Elemento 103: 4.68717
Elemento 104: 4.69188
Elemento 105: 4.70159
Elemento 106: 4.70469
Elemento 107: 4.70502
Elemento 108: 4.70571
Elemento 109: 4.71132
Elemento 110: 4.71491
Elemento 111: 4.72638
Elemento 112: 4.73051
Elemento 113: 4.73589
Elemento 114: 4.73838
Elemento 115: 4.73844
Elemento 116: 4.74186
Elemento 117: 4.74346
Elemento 118: 4.74835
Elemento 119: 4.74838
Elemento 120: 4.75205
Elemento 121: 4.76173
Elemento 122: 4.76613
Elemento 123: 4.76699
Elemento 124: 4.76836
Elemento 125: 4.77027
Elemento 126: 4.7711
Elemento 127: 4.77235
Elemento 128: 4.77361
Elemento 129: 4.77557
Elemento 130: 4.7758
Elemento 131: 4.78604
Elemento 132: 4.78777
Elemento 133: 4.79491
Elemento 134: 4.80646
Elemento 135: 4.81222
Elemento 136: 4.81414
Elemento 137: 4.8144
Elemento 138: 4.81464
Elemento 139: 4.81575
Elemento 140: 4.81597
Elemento 141: 4.81846
Elemento 142: 4.81961
Elemento 143: 4.82394
Elemento 144: 4.83394
Elemento 145: 4.83477
Elemento 146: 4.83503
Elemento 147: 4.83939
Elemento 148: 4.84263
Elemento 149: 4.84392
Elemento 150: 4.84415
Elemento 151: 4.84434
Elemento 152: 4.84542
Elemento 153: 4.84572
Elemento 154: 4.85058
Elemento 155: 4.85287
Elemento 156: 4.85496
Elemento 157: 4.85779
Elemento 158: 4.86072
Elemento 159: 4.86386
Elemento 160: 4.86977
Elemento 161: 4.87717
Elemento 162: 4.87835
Elemento 163: 4.88032
Elemento 164: 4.88754
Elemento 165: 4.89075
Elemento 166: 4.89203
Elemento 167: 4.897
Elemento 168: 4.89923
Elemento 169: 4.90009
Elemento 170: 4.90099
Elemento 171: 4.90682
Elemento 172: 4.90833
Elemento 173: 4.91277
Elemento 174: 4.91385
Elemento 175: 4.91708
Elemento 176: 4.92361
Elemento 177: 4.9253
Elemento 178: 4.92773
Elemento 179: 4.92846
Elemento 180: 4.92859
Elemento 181: 4.92913
Elemento 182: 4.92917
Elemento 183: 4.93108
Elemento 184: 4.93125
Elemento 185: 4.93183
Elemento 186: 4.93572
Elemento 187: 4.94029
Elemento 188: 4.94496
Elemento 189: 4.94924
Elemento 190: 4.94949
Elemento 191: 4.9535
Elemento 192: 4.95368
Elemento 193: 4.95436
Elemento 194: 4.95735
Elemento 195: 4.95842
Elemento 196: 4.95928
Elemento 197: 4.96116
Elemento 198: 4.96453
Elemento 199: 4.96455
Elemento 200: 4.96956
Elemento 201: 4.97015
Elemento 202: 4.97055
Elemento 203: 4.971
Elemento 204: 4.97426
Elemento 205: 4.97479
Elemento 206: 4.97511
Elemento 207: 4.976
Elemento 208: 4.98036
Elemento 209: 4.98092
Elemento 210: 4.98219
Elemento 211: 4.98339
Elemento 212: 4.98351
Elemento 213: 4.98723
Elemento 214: 4.98788
Elemento 215: 4.99037
Elemento 216: 4.99095
Elemento 217: 4.99157
Elemento 218: 4.99268
Elemento 219: 4.99301
Elemento 220: 4.99508
Elemento 221: 4.99962
Elemento 222: 5.00027
Elemento 223: 5.00221
Elemento 224: 5.00398
Elemento 225: 5.00575
Elemento 226: 5.01268
Elemento 227: 5.01552
Elemento 228: 5.01578
Elemento 229: 5.01758
Elemento 230: 5.01782
Elemento 231: 5.02098
Elemento 232: 5.03515
Elemento 233: 5.03522
Elemento 234: 5.03555
Elemento 235: 5.03647
Elemento 236: 5.03665
Elemento 237: 5.03823
Elemento 238: 5.03916
Elemento 239: 5.03984
Elemento 240: 5.04059
Elemento 241: 5.04193
Elemento 242: 5.04239
Elemento 243: 5.04432
Elemento 244: 5.05053
Elemento 245: 5.05735
Elemento 246: 5.05901
Elemento 247: 5.06102
Elemento 248: 5.0611
Elemento 249: 5.06207
Elemento 250: 5.06207
Elemento 251: 5.06917
Elemento 252: 5.06919
Elemento 253: 5.07024
Elemento 254: 5.07087
Elemento 255: 5.071
Elemento 256: 5.07103
Elemento 257: 5.0793
Elemento 258: 5.08109
Elemento 259: 5.08223
Elemento 260: 5.08281
Elemento 261: 5.08429
Elemento 262: 5.08836
Elemento 263: 5.09239
Elemento 264: 5.09539
Elemento 265: 5.09597
Elemento 266: 5.09643
Elemento 267: 5.10306
Elemento 268: 5.10475
Elemento 269: 5.10741
Elemento 270: 5.10866
Elemento 271: 5.10959
Elemento 272: 5.11367
Elemento 273: 5.11606
Elemento 274: 5.11626
Elemento 275: 5.1186
Elemento 276: 5.11915
Elemento 277: 5.12022
Elemento 278: 5.12023
Elemento 279: 5.12153
Elemento 280: 5.12291
Elemento 281: 5.12377
Elemento 282: 5.1269
Elemento 283: 5.12819
Elemento 284: 5.12832
Elemento 285: 5.13224
Elemento 286: 5.13435
Elemento 287: 5.13472
Elemento 288: 5.13707
Elemento 289: 5.13896
Elemento 290: 5.13933
Elemento 291: 5.14007
Elemento 292: 5.14094
Elemento 293: 5.1417
Elemento 294: 5.14256
Elemento 295: 5.14302
Elemento 296: 5.14772
Elemento 297: 5.1518
Elemento 298: 5.15337
Elemento 299: 5.15402
Elemento 300: 5.15563
Elemento 301: 5.15827
Elemento 302: 5.15893
Elemento 303: 5.15942
Elemento 304: 5.15942
Elemento 305: 5.16048
Elemento 306: 5.16249
Elemento 307: 5.16548
Elemento 308: 5.16729
Elemento 309: 5.16834
Elemento 310: 5.17124
Elemento 311: 5.17736
Elemento 312: 5.18044
Elemento 313: 5.18171
Elemento 314: 5.18172
Elemento 315: 5.18186
Elemento 316: 5.18273
Elemento 317: 5.18511
Elemento 318: 5.18797
Elemento 319: 5.19226
Elemento 320: 5.19374
Elemento 321: 5.19376
Elemento 322: 5.1955
Elemento 323: 5.1978
Elemento 324: 5.20198
Elemento 325: 5.20402
Elemento 326: 5.20902
Elemento 327: 5.20997
Elemento 328: 5.21087
Elemento 329: 5.21544
Elemento 330: 5.21694
Elemento 331: 5.21716
Elemento 332: 5.21867
Elemento 333: 5.22095
Elemento 334: 5.22157
Elemento 335: 5.22205
Elemento 336: 5.22728
Elemento 337: 5.22811
Elemento 338: 5.22933
Elemento 339: 5.23113
Elemento 340: 5.23153
Elemento 341: 5.23234
Elemento 342: 5.2326
Elemento 343: 5.23545
Elemento 344: 5.24073
Elemento 345: 5.24081
Elemento 346: 5.24282
Elemento 347: 5.24332
Elemento 348: 5.24497
Elemento 349: 5.24521
Elemento 350: 5.24767
Elemento 351: 5.24817
Elemento 352: 5.2496
Elemento 353: 5.25039
Elemento 354: 5.25159
Elemento 355: 5.25504
Elemento 356: 5.25555
Elemento 357: 5.25654
Elemento 358: 5.25978
Elemento 359: 5.26441
Elemento 360: 5.26575
Elemento 361: 5.26616
Elemento 362: 5.26636
Elemento 363: 5.26712
Elemento 364: 5.26743
Elemento 365: 5.26758
Elemento 366: 5.26793
Elemento 367: 5.26878
Elemento 368: 5.27141
Elemento 369: 5.27418
Elemento 370: 5.27561
Elemento 371: 5.27578
Elemento 372: 5.27644
Elemento 373: 5.27811
Elemento 374: 5.28045
Elemento 375: 5.28045
Elemento 376: 5.28174
Elemento 377: 5.28216
Elemento 378: 5.2838
Elemento 379: 5.28518
Elemento 380: 5.28609
Elemento 381: 5.28643
Elemento 382: 5.28659
Elemento 383: 5.28829
Elemento 384: 5.28873
Elemento 385: 5.28911
Elemento 386: 5.28913
Elemento 387: 5.29047
Elemento 388: 5.29119
Elemento 389: 5.29122
Elemento 390: 5.29179
Elemento 391: 5.29243
Elemento 392: 5.29307
Elemento 393: 5.29844
Elemento 394: 5.29865
Elemento 395: 5.29949
Elemento 396: 5.29966
Elemento 397: 5.29971
Elemento 398: 5.29996
Elemento 399: 5.30095
Elemento 400: 5.30212
Elemento 401: 5.30241
Elemento 402: 5.30371
Elemento 403: 5.30551
Elemento 404: 5.30634
Elemento 405: 5.30689
Elemento 406: 5.3074
Elemento 407: 5.30758
Elemento 408: 5.30832
Elemento 409: 5.31142
Elemento 410: 5.31153
Elemento 411: 5.3125
Elemento 412: 5.3133
Elemento 413: 5.31531
Elemento 414: 5.3168
Elemento 415: 5.31689
Elemento 416: 5.31741
Elemento 417: 5.31848
Elemento 418: 5.31966
Elemento 419: 5.32066
Elemento 420: 5.3213
Elemento 421: 5.32382
Elemento 422: 5.32401
Elemento 423: 5.32578
Elemento 424: 5.3281
Elemento 425: 5.32847
Elemento 426: 5.32871
Elemento 427: 5.32892
Elemento 428: 5.33025
Elemento 429: 5.33189
Elemento 430: 5.33407
Elemento 431: 5.33862
Elemento 432: 5.33982
Elemento 433: 5.34071
Elemento 434: 5.34108
Elemento 435: 5.34111
Elemento 436: 5.34148
Elemento 437: 5.34158
Elemento 438: 5.3419
Elemento 439: 5.34273
Elemento 440: 5.3434
Elemento 441: 5.34474
Elemento 442: 5.34847
Elemento 443: 5.35208
Elemento 444: 5.35239
Elemento 445: 5.35329
Elemento 446: 5.35465
Elemento 447: 5.35553
Elemento 448: 5.35647
Elemento 449: 5.35652
Elemento 450: 5.3589
Elemento 451: 5.35927
Elemento 452: 5.35973
Elemento 453: 5.36167
Elemento 454: 5.36332
Elemento 455: 5.36347
Elemento 456: 5.36411
Elemento 457: 5.36458
Elemento 458: 5.36605
Elemento 459: 5.36672
Elemento 460: 5.367
Elemento 461: 5.36783
Elemento 462: 5.36916
Elemento 463: 5.37226
Elemento 464: 5.37247
Elemento 465: 5.37265
Elemento 466: 5.37305
Elemento 467: 5.37604
Elemento 468: 5.37796
Elemento 469: 5.37906
Elemento 470: 5.37906
Elemento 471: 5.38007
Elemento 472: 5.38058
Elemento 473: 5.38168
Elemento 474: 5.38278
Elemento 475: 5.38454
Elemento 476: 5.38583
Elemento 477: 5.3863
Elemento 478: 5.38663
Elemento 479: 5.38716
Elemento 480: 5.38958
Elemento 481: 5.39174
Elemento 482: 5.39242
Elemento 483: 5.39248
Elemento 484: 5.39305
Elemento 485: 5.39509
Elemento 486: 5.3954
Elemento 487: 5.39552
Elemento 488: 5.39649
Elemento 489: 5.39705
Elemento 490: 5.39787
Elemento 491: 5.39799
Elemento 492: 5.39876
Elemento 493: 5.39961
Elemento 494: 5.39969
Elemento 495: 5.40324
Elemento 496: 5.4035
Elemento 497: 5.40421
Elemento 498: 5.40451
Elemento 499: 5.40735
Elemento 500: 5.40816
Elemento 501: 5.40869
Elemento 502: 5.4097
Elemento 503: 5.41039
Elemento 504: 5.41197
Elemento 505: 5.41296
Elemento 506: 5.41297
Elemento 507: 5.41442
Elemento 508: 5.41457
Elemento 509: 5.41702
Elemento 510: 5.41844
Elemento 511: 5.41888
Elemento 512: 5.41915
Elemento 513: 5.42026
Elemento 514: 5.42049
Elemento 515: 5.42099
Elemento 516: 5.42294
Elemento 517: 5.42321
Elemento 518: 5.42327
Elemento 519: 5.42397
Elemento 520: 5.42473
Elemento 521: 5.42484
Elemento 522: 5.42524
Elemento 523: 5.42526
Elemento 524: 5.42662
Elemento 525: 5.42758
Elemento 526: 5.42759
Elemento 527: 5.42781
Elemento 528: 5.42797
Elemento 529: 5.42834
Elemento 530: 5.43095
Elemento 531: 5.43111
Elemento 532: 5.43203
Elemento 533: 5.43236
Elemento 534: 5.43431
Elemento 535: 5.43465
Elemento 536: 5.43974
Elemento 537: 5.43999
Elemento 538: 5.44028
Elemento 539: 5.44149
Elemento 540: 5.44246
Elemento 541: 5.44274
Elemento 542: 5.44399
Elemento 543: 5.4442
Elemento 544: 5.44453
Elemento 545: 5.44567
Elemento 546: 5.44671
Elemento 547: 5.44888
Elemento 548: 5.44953
Elemento 549: 5.45067
Elemento 550: 5.45204
Elemento 551: 5.45207
Elemento 552: 5.45273
Elemento 553: 5.45338
Elemento 554: 5.45389
Elemento 555: 5.45425
Elemento 556: 5.45625
Elemento 557: 5.45666
Elemento 558: 5.45672
Elemento 559: 5.45868
Elemento 560: 5.45922
Elemento 561: 5.46043
Elemento 562: 5.46095
Elemento 563: 5.46189
Elemento 564: 5.46193
Elemento 565: 5.46307
Elemento 566: 5.46316
Elemento 567: 5.46447
Elemento 568: 5.46661
Elemento 569: 5.46679
Elemento 570: 5.46741
Elemento 571: 5.46767
Elemento 572: 5.46949
Elemento 573: 5.47037
Elemento 574: 5.47094
Elemento 575: 5.47237
Elemento 576: 5.47619
Elemento 577: 5.47678
Elemento 578: 5.47702
Elemento 579: 5.47806
Elemento 580: 5.47865
Elemento 581: 5.47977
Elemento 582: 5.47991
Elemento 583: 5.48081
Elemento 584: 5.481
Elemento 585: 5.48203
Elemento 586: 5.48382
Elemento 587: 5.48393
Elemento 588: 5.48403
Elemento 589: 5.48508
Elemento 590: 5.48705
Elemento 591: 5.48725
Elemento 592: 5.48737
Elemento 593: 5.48761
Elemento 594: 5.48947
Elemento 595: 5.49079
Elemento 596: 5.49294
Elemento 597: 5.49321
Elemento 598: 5.4948
Elemento 599: 5.49914
Elemento 600: 5.49981
Elemento 601: 5.49984
Elemento 602: 5.50077
Elemento 603: 5.50128
Elemento 604: 5.50171
Elemento 605: 5.50301
Elemento 606: 5.50389
Elemento 607: 5.50623
Elemento 608: 5.50625
Elemento 609: 5.50698
Elemento 610: 5.50846
Elemento 611: 5.51008
Elemento 612: 5.5111
Elemento 613: 5.51123
Elemento 614: 5.51489
Elemento 615: 5.51503
Elemento 616: 5.51558
Elemento 617: 5.51694
Elemento 618: 5.51738
Elemento 619: 5.51748
Elemento 620: 5.51872
Elemento 621: 5.51891
Elemento 622: 5.51952
Elemento 623: 5.51984
Elemento 624: 5.52051
Elemento 625: 5.52238
Elemento 626: 5.52284
Elemento 627: 5.52291
Elemento 628: 5.52456
Elemento 629: 5.52536
Elemento 630: 5.52594
Elemento 631: 5.52604
Elemento 632: 5.52619
Elemento 633: 5.52667
Elemento 634: 5.52854
Elemento 635: 5.53409
Elemento 636: 5.53449
Elemento 637: 5.53456
Elemento 638: 5.53502
Elemento 639: 5.53564
Elemento 640: 5.53764
Elemento 641: 5.53774
Elemento 642: 5.53896
Elemento 643: 5.53927
Elemento 644: 5.53928
Elemento 645: 5.54018
Elemento 646: 5.54194
Elemento 647: 5.54216
Elemento 648: 5.54219
Elemento 649: 5.54222
Elemento 650: 5.54229
Elemento 651: 5.54272
Elemento 652: 5.54281
Elemento 653: 5.54283
Elemento 654: 5.5432
Elemento 655: 5.54343
Elemento 656: 5.54369
Elemento 657: 5.54601
Elemento 658: 5.54612
Elemento 659: 5.54641
Elemento 660: 5.54738
Elemento 661: 5.54814
Elemento 662: 5.54885
Elemento 663: 5.54885
Elemento 664: 5.54917
Elemento 665: 5.54939
Elemento 666: 5.54964
Elemento 667: 5.55001
Elemento 668: 5.55015
Elemento 669: 5.55078
Elemento 670: 5.55113
Elemento 671: 5.55226
Elemento 672: 5.55293
Elemento 673: 5.55428
Elemento 674: 5.55536
Elemento 675: 5.55547
Elemento 676: 5.5562
Elemento 677: 5.55703
Elemento 678: 5.55834
Elemento 679: 5.55845
Elemento 680: 5.55877
Elemento 681: 5.56015
Elemento 682: 5.56023
Elemento 683: 5.56073
Elemento 684: 5.56208
Elemento 685: 5.56238
Elemento 686: 5.56592
Elemento 687: 5.56608
Elemento 688: 5.56624
Elemento 689: 5.56651
Elemento 690: 5.56656
Elemento 691: 5.56673
Elemento 692: 5.56765
Elemento 693: 5.56789
Elemento 694: 5.56828
Elemento 695: 5.56913
Elemento 696: 5.57072
Elemento 697: 5.57162
Elemento 698: 5.57189
Elemento 699: 5.57215
Elemento 700: 5.57231
Elemento 701: 5.57231
Elemento 702: 5.57299
Elemento 703: 5.57564
Elemento 704: 5.576
Elemento 705: 5.57712
Elemento 706: 5.57778
Elemento 707: 5.5799
Elemento 708: 5.58037
Elemento 709: 5.58149
Elemento 710: 5.58199
Elemento 711: 5.58236
Elemento 712: 5.58346
Elemento 713: 5.58382
Elemento 714: 5.58411
Elemento 715: 5.58419
Elemento 716: 5.58587
Elemento 717: 5.58637
Elemento 718: 5.58715
Elemento 719: 5.58872
Elemento 720: 5.58912
Elemento 721: 5.5897
Elemento 722: 5.59137
Elemento 723: 5.59195
Elemento 724: 5.592
Elemento 725: 5.59223
Elemento 726: 5.59244
Elemento 727: 5.5929
Elemento 728: 5.5929
Elemento 729: 5.59342
Elemento 730: 5.5977
Elemento 731: 5.59802
Elemento 732: 5.59931
Elemento 733: 5.60106
Elemento 734: 5.60219
Elemento 735: 5.60254
Elemento 736: 5.60266
Elemento 737: 5.60328
Elemento 738: 5.60412
Elemento 739: 5.60643
Elemento 740: 5.60871
Elemento 741: 5.61148
Elemento 742: 5.61176
Elemento 743: 5.612
Elemento 744: 5.613
Elemento 745: 5.6134
Elemento 746: 5.61483
Elemento 747: 5.61523
Elemento 748: 5.61536
Elemento 749: 5.61555
Elemento 750: 5.61565
Elemento 751: 5.61661
Elemento 752: 5.617
Elemento 753: 5.61804
Elemento 754: 5.62188
Elemento 755: 5.62241
Elemento 756: 5.62245
Elemento 757: 5.62266
Elemento 758: 5.62282
Elemento 759: 5.62331
Elemento 760: 5.62392
Elemento 761: 5.62444
Elemento 762: 5.62472
Elemento 763: 5.62563
Elemento 764: 5.62715
Elemento 765: 5.6282
Elemento 766: 5.6283
Elemento 767: 5.62902
Elemento 768: 5.62955
Elemento 769: 5.63009
Elemento 770: 5.63243
Elemento 771: 5.63263
Elemento 772: 5.63273
Elemento 773: 5.63557
Elemento 774: 5.63592
Elemento 775: 5.63612
Elemento 776: 5.63666
Elemento 777: 5.63856
Elemento 778: 5.63983
Elemento 779: 5.64025
Elemento 780: 5.64212
Elemento 781: 5.64277
Elemento 782: 5.64381
Elemento 783: 5.64397
Elemento 784: 5.64473
Elemento 785: 5.64501
Elemento 786: 5.64529
Elemento 787: 5.64549
Elemento 788: 5.64738
Elemento 789: 5.64836
Elemento 790: 5.6491
Elemento 791: 5.64961
Elemento 792: 5.64994
Elemento 793: 5.65
Elemento 794: 5.65118
Elemento 795: 5.65179
Elemento 796: 5.65334
Elemento 797: 5.65479
Elemento 798: 5.65512
Elemento 799: 5.6557
Elemento 800: 5.65618
Elemento 801: 5.65628
Elemento 802: 5.65698
Elemento 803: 5.65886
Elemento 804: 5.65969
Elemento 805: 5.66034
Elemento 806: 5.66085
Elemento 807: 5.66122
Elemento 808: 5.6613
Elemento 809: 5.6615
Elemento 810: 5.66229
Elemento 811: 5.66244
Elemento 812: 5.66248
Elemento 813: 5.66391
Elemento 814: 5.66397
Elemento 815: 5.66565
Elemento 816: 5.66601
Elemento 817: 5.66632
Elemento 818: 5.66789
Elemento 819: 5.66843
Elemento 820: 5.66852
Elemento 821: 5.66919
Elemento 822: 5.6694
Elemento 823: 5.66962
Elemento 824: 5.67206
Elemento 825: 5.675
Elemento 826: 5.67575
Elemento 827: 5.67616
Elemento 828: 5.67685
Elemento 829: 5.67744
Elemento 830: 5.67838
Elemento 831: 5.67859
Elemento 832: 5.67861
Elemento 833: 5.67868
Elemento 834: 5.67932
Elemento 835: 5.67954
Elemento 836: 5.67996
Elemento 837: 5.68064
Elemento 838: 5.68263
Elemento 839: 5.68267
Elemento 840: 5.68316
Elemento 841: 5.68466
Elemento 842: 5.68469
Elemento 843: 5.68511
Elemento 844: 5.68606
Elemento 845: 5.68724
Elemento 846: 5.68767
Elemento 847: 5.68808
Elemento 848: 5.68821
Elemento 849: 5.6885
Elemento 850: 5.68885
